batch,GeneRate,mus_train,Gender,Age,Race,Lang_1st,Lang_other,Music,Active,BP_Name,BMRQ_MS,BMRQ_EE,BMRQ_MR,BMRQ_SM,BMRQ_SR,BMRQ_AM,eBMRQ,MSI_AE,MSI_PA,MSI_MT,MSI_SA,MSI_EM,MSI_GS,num_seq,length,pitches,entropy,log_len,LANG#,FINGERS,EDIBLE,BRICK,CAN,CLIP,DTTtotal,mean_creativity_rating,sd_creativity_rating
SM22,G,Yes,2,19,Asian,English,Gujarati,Piano,3,220523_ACAS.txt,10,20,17,16,16,10,88,31,34,12,24,33,53,3,5,4,2,2.321928094887362,2,7,11,14,12,10,54,28.319423223834992,2.765900302803988
SM22,G,Yes,2,18,White,English,NA,Clarinet,3,220524_CVON.txt,19,20,19,17,12,16,103,51,34,24,18,36,60,9,17.77777777777778,8.88888888888889,2.6867666567792585,3.9697606955543123,1,11,14,9,15,16,65,68.80134262790632,15.71354928825267
SM22,G,No,2,21,White,Russian,"Ukrainian, English",No,NA,220524_ISOL.txt,12,14,12,19,16,13,89,33,40,8,17,30,50,4,12,6.25,2.6978458230844127,3.584962500721156,3,6,19,12,14,12,63,76.16732456140352,8.534810143608485
SM22,G,No,2,18,Hispanic/Latino,English,NA,NA,3,220525_LMAR.txt,6,7,4,19,4,4,44,20,38,12,16,21,33,11,8.818181818181818,6.454545454545454,2.507525754671233,3.0500058841229682,1,5,9,6,6,8,34,56.303138132936894,14.595616809597853
SM22,G,No,2,21,Asian,Chinese,English,no,3,220525_KZHU.txt,18,19,19,15,19,17,108,41,36,8,24,35,52,10,11.9,5.5,2.0954916946790747,3.5427011094311243,2,4,7,5,2,5,23,56.07253964173082,17.43211621942389
SM22,G,Yes,2,18,Black/African American,English,NA,"Piano, Alto Sax",3,220525_EABR.txt,14,18,18,18,15,8,90,37,47,33,29,38,82,10,10.8,5.3,1.9630467472929047,3.384962500721156,1,4,13,8,6,3,34,53.11402475520123,19.834068459290933
SM22,G,Yes,2,19,White,Russian,English,Piano,3,220527_EPOP.txt,12,16,10,16,12,8,74,27,46,27,27,28,65,3,10,5,2.2555474135411644,3.2516291673878226,2,3,7,6,2,3,21,55.57815699379167,17.997391549546183
SM22,G,Yes,1,20,White,English,NA,trumpet,3,220527_WHAR.txt,14,15,17,11,10,8,77,27,38,19,18,23,51,17,8.117647058823529,6,1.9857074862878805,2.934265454762295,1,7,11,9,7,7,41,50.647044798590045,18.205204582684175
SM22,G,Yes,1,21,White,English,NA,"Piano, Drums",3,220530_MDON.txt,16,13,14,14,11,9,81,32,58,19,34,36,77,6,10.5,7.833333333333333,2.455616503380859,3.309367776097791,1,3,11,6,2,6,28,68.35665934065933,12.60635738731727
SM22,G,No,2,19,Black/African American,Amharic,"English, Afghan Oromo",no,3,220530_ETEK.txt,12,15,16,18,13,7,83,29,46,29,27,34,63,15,10,5.666666666666666,2.2251772813771726,3.283206036312122,3,1,10,5,5,2,23,56.56091079059829,19.605521639259916
SM22,G,Yes,2,19,White,English,NA,French Horn,3,220530_ENOO.txt,16,18,19,18,12,17,100,41,50,16,28,41,72,15,11.133333333333333,6.733333333333333,2.5896981836996904,3.4234549065278013,1,6,14,11,7,6,44,62.11915445665446,20.36250545034204
