batch,GeneRate,mus_train,Gender,Age,Race,Lang_1st,Lang_other,Music,Active,BP_Name,BMRQ_MS,BMRQ_EE,BMRQ_MR,BMRQ_SM,BMRQ_SR,BMRQ_AM,eBMRQ,MSI_AE,MSI_PA,MSI_MT,MSI_SA,MSI_EM,MSI_GS,num_seq,length,log_len,pitches,entropy,LANG#,FINGERS,EDIBLE,BRICK,CAN,CLIP,DTTtotal,mean_creativity_rating,sd_creativity_rating
FL22,G,Yes,2,18,White,English,No,Very little piano expirience as a kid,3,221007_SFOR.txt,13,18,17,19,14,11,94,34,36,12,17,36,45,15,12,3.584962500721156,6.6,2.5023806913752673,1,8,11,24,21,11,75,71.65490768472375,14.89848831760748
FL22,G,Yes,3,19,White,English,NA,"Guitar, vocals",3,221013_CMCC.txt,12,15,18,15,17,17,93,29,43,33,37,31,87,5,11.4,3.491065444060912,7,2.822620964861871,1,4,8,4,5,3,24,74.61434418072349,9.250083920670212
FL22,G,No,2,18,Hispanic/Latino,English,NA,no,3,221013_NMON.txt,12,17,19,20,16,12,95,31,42,7,22,38,52,32,8.03125,2.915505815943021,5.375,2.139136034674131,NA,NA,NA,NA,NA,NA,NA,56.68575656674576,16.88483542527073
FL22,G,Yes,1,19,White,English,NA,Piano,1,221017_ABUR.txt,13,17,13,15,18,12,89,31,54,31,32,33,81,20,9.45,3.1428741246885865,5.6,2.265675791302869,NA,NA,NA,NA,NA,NA,NA,65.67170046874367,15.787740510934606
FL22,G,No,2,19,Black/African American,English,N/A,no,1,221018_CROG.txt,17,20,20,20,20,16,113,36,49,17,35,39,73,1,5,2.321928094887362,4,2,NA,NA,NA,NA,NA,NA,NA,54.266666666666666,NA
FL22,G,Yes,2,18,Asian,English,Mandarin,"Piano, Flute, Violin",3,221020_ELIU.txt,10,19,17,16,12,16,90,21,51,29,32,34,69,6,5,2.321928094887362,4,1.6666666666666667,2,5,13,4,0,6,28,45.883715106732346,5.028029009314897
FL22,G,Yes,1,19,White,English,NA,Yes I have played trumpet and have just started playing piano,1,221020_AFEB.txt,20,17,17,19,17,19,112,51,52,32,36,39,98,6,9.333333333333334,3.138617183202383,6.333333333333333,2.18617863564093,1,7,11,9,6,5,38,55.79009392167287,18.26190706337303
FL22,G,No,1,19,Asian,English,Urdu,No,3,221021_AKHA.txt,14,13,15,17,15,12,88,36,40,8,24,34,55,14,5,2.321928094887362,2.5714285714285716,1.3214285714285714,2,10,17,4,4,5,40,40.22765355417529,11.647000368813933
FL22,G,Yes,2,19,Black/African American,English,NA,clarinet,3,221021_SAPE.txt,16,18,18,9,15,15,93,52,60,21,15,41,71,13,7.615384615384615,2.8873580748855128,5.153846153846154,2.3426804253160576,1,4,12,5,7,8,36,58.977645302452096,9.877704245796341
FL22,G,Yes,2,18,Asian,English,Mandarin,Piano and flute,3,221025_HYEN.txt,12,18,18,17,13,8,86,23,56,36,34,24,82,90,5,2.321928094887362,4.2555555555555555,1.786791979160657,2,8,11,6,9,6,40,50.00109583423661,9.689104223020525
FL22,G,Yes,1,19,2+ Races,English,NA,Cello,1,221027_RTAB.txt,16,19,18,12,15,13,94,48,46,38,23,34,80,9,5,2.321928094887362,4.111111111111111,1.7012531249399037,1,4,6,5,2,3,20,38.23962272295606,14.256408489075925
FL22,G,Yes,3,19,White,English,NA,Horn,3,221028_GMAC.txt,4,10,9,7,6,9,48,20,37,16,13,14,33,15,5,2.321928094887362,4.333333333333333,1.9,NA,NA,NA,NA,NA,NA,NA,43.22462759462759,8.825035225019336
FL22,G,Yes,2,19,White,English,French,"Flute, guitar",1,221028_AGRA.txt,11,20,20,17,20,20,107,38,60,37,43,38,102,12,10.583333333333334,3.2356575442161186,6.416666666666667,1.9478559703147853,NA,NA,NA,NA,NA,NA,NA,62.111550570641484,20.759103181815394
FL22,G,Yes,1,20,White,English,German,"Yes, piano",1,221101_RLIN.txt,17,20,17,15,20,19,107,43,50,45,28,36,93,16,5,2.321928094887362,4.5,1.8125,2,7,13,15,14,16,65,42.30649801587302,8.919131330375262
FL22,G,No,2,19,Asian,Gujarati,English,no,3,221101_KGAN.txt,19,20,20,20,20,20,119,39,45,15,36,34,78,52,5,2.321928094887362,3.6538461538461537,1.7583429687187961,2,13,5,3,8,5,34,40.07498495094649,13.312631320722025
FL22,G,Yes,2,19,White,English,NA,"Guitar, Piano, Viola",2,221101_RCOH.txt,18,17,18,17,20,20,112,52,43,30,13,37,71,11,11.363636363636363,3.4709016574860425,5.181818181818182,2.605742760594955,NA,NA,NA,NA,NA,NA,NA,76.9729797979798,15.260287366581998
FL22,G,Yes,1,19,Asian,Chinese,NA,guitar,1,221103_HSUN.txt,20,19,19,20,20,17,116,57,56,28,41,31,101,51,11.431372549019608,3.472605451143748,4.96078431372549,2.3198856951316857,NA,NA,NA,NA,NA,NA,NA,62.6625,26.811955122668696
FL22,G,Yes,1,18,2+ Races,English,NA,Trumpet,3,221103_SGOT.txt,16,15,17,16,13,16,95,31,37,25,20,27,61,15,11.6,3.518295834054489,6.933333333333334,2.8780250200318243,1,6,11,5,9,8,39,81.87152717652718,13.055892342129647
FL22,G,No,2,20,Asian,Chinese,English,No,3,221104_RTIA.txt,17,16,17,15,16,9,92,30,43,21,20,30,58,18,5,2.321928094887362,4.444444444444445,1.8333333333333333,2,4,13,2,2,1,22,47.24074274490941,7.810784202029573
FL22,G,Yes,2,19,Asian,Korean,English,"Piano, cello",3,221104_CCHA.txt,20,18,19,15,19,18,110,51,46,36,31,35,91,7,7.571428571428571,2.882421752619469,4.857142857142857,2.0104578786568483,NA,NA,NA,NA,NA,NA,NA,68.56904761904762,27.550277992432623
FL22,G,Yes,2,18,White,English,NA,"yes, the piano",3,221107_EDRU.txt,15,17,15,20,18,18,106,32,35,23,21,42,64,9,13.333333333333334,3.7280416540044286,6.888888888888889,2.023223796693138,NA,NA,NA,NA,NA,NA,NA,70.4556277056277,16.33686245882588
FL22,G,Yes,1,18,Asian,Gujarati,"English, Hindi, Marathi, French","Yes, Tabla,Drums, keyboard",1,221108_APAR.txt,16,17,19,19,19,18,109,37,43,33,30,35,78,8,7.75,2.907339155019902,5.25,1.9846542882213887,4,6,10,7,4,9,36,55.55976430976431,10.928894901482161
FL22,G,Yes,3,19,Asian,Chinese,English,"yes, mainly piano",1,221108_YDIN.txt,19,18,20,13,14,17,101,52,55,28,41,36,104,12,13,3.6877304105995297,6.916666666666667,2.573040754339591,2,8,5,26,3,13,55,83.49963924963924,13.543090303042597
FL22,G,Yes,1,18,Asian,English,"Japanese, Korean","Viola, Guitar",2,221110_YAND.txt,18,19,19,16,18,16,107,49,56,24,32,37,88,26,11.5,3.4937272320530286,6.115384615384615,2.3272547780459827,3,4,21,6,6,6,43,70.33138505938506,21.79120120439479
FL22,G,Yes,2,19,Hispanic/Latino,Spanish,English,flute,3,221110_EGIL.txt,16,20,20,16,16,19,107,36,44,12,21,33,49,19,7.315789473684211,2.5974643998903697,5.7368421052631575,1.2266782923398185,2,3,12,6,5,7,33,44.890858100233096,23.939578977583576
FL22,G,Yes,2,18,Hispanic/Latino,Spanish,English,"Yes, guitar",3,221110_ADEL.txt,15,18,18,18,20,16,105,45,44,19,32,39,80,11,13,3.700439718141092,8.181818181818182,2.9569787659516025,NA,NA,NA,NA,NA,NA,NA,80.60694444444445,7.312466014130864
FL22,G,Yes,1,19,Asian,Chinese,English,"Piano, Clarinet",3,221114_ZFEN.txt,18,13,15,17,16,15,94,39,55,41,41,29,100,1,13,3.700439718141092,7,2.584962500721156,2,4,0,5,4,4,17,95.71428571428571,NA
FL22,G,No,1,21,White,English,NA,no,2,221115_TBAR.txt,18,19,20,20,17,20,114,48,54,13,30,40,75,4,6,2.584962500721156,4.25,2.221928094887362,NA,NA,NA,NA,NA,NA,NA,53.5218253968254,14.017158819483436
FL22,G,Yes,2,20,Hispanic/Latino,English,NA,"Trumpet, Piano",1,221116_ILEC.txt,18,16,16,20,20,20,114,40,55,39,16,40,85,22,5,2.321928094887362,3.6363636363636362,1.7414217329299606,1,4,11,10,10,9,44,49.01524674820129,10.717256192219331
FL22,G,Yes,1,20,Asian,Mandarin,English,Guitar,3,221117_JCHE.txt,14,9,13,11,11,15,76,42,42,21,20,25,66,3,8,3,5,1.8783180170896545,2,0,4,4,2,2,12,68.04166666666667,16.025533012456506
FL22,G,No,2,20,Asian,English,Gujarati,No,3,221117_DSHA.txt,6,10,13,19,14,13,77,23,28,7,9,26,29,11,8.818181818181818,3.0968832635222903,6.636363636363637,1.857043203176519,2,7,14,11,15,9,56,60.83863636363637,19.20358049395682
FL22,G,Yes,1,19,White,English,NA,"Yes, piano, guitar.",1,221121_ASAB.txt,16,20,20,11,17,13,97,43,63,40,42,38,104,8,8,3,4.625,1.8810280831124753,1,2,12,9,13,8,44,59.19767316017316,12.008967609820937
FL22,G,No,1,20,Black/African American,English,Amharic,no,3,221121_MSAI.txt,10,14,12,20,15,18,92,28,51,11,40,38,73,2,9,3.084962500721156,5.5,2.492730424845808,2,2,19,7,8,9,45,58.515151515151516,25.241569340537968
FL22,G,Yes,2,19,White,English,NA,"Piano, Saxophone",3,221129_MMCA.txt,14,15,15,16,14,9,84,38,45,28,33,30,81,9,11,3.401232684305579,5.888888888888889,2.0924797067391303,1,8,16,9,10,13,56,58.625,20.367235228015936
FL22,G,Yes,2,19,White,English,NA,Trumpet,3,221129_AHOF.txt,7,6,9,14,10,4,52,15,39,14,17,11,39,6,13,3.700439718141092,4.833333333333333,1.7461214890738326,1,9,17,14,10,9,59,66.92724867724868,12.114838945167145
FL22,G,Yes,2,20,White,English,NA,"Yes, piano, violin, saxophone",2,221201_APER.txt,16,20,20,19,19,15,109,48,57,35,30,39,93,1,13,3.700439718141092,6,1.7295739585136223,1,7,11,10,7,6,41,81.66666666666667,NA
FL22,G,Yes,1,19,Asian,English,Hindi,Violin,3,221201_DSAR.txt,15,13,14,11,14,16,84,34,35,20,32,14,75,28,9.285714285714285,2.7862138091730766,4.571428571428572,1.7748538827076523,2,7,7,6,6,8,34,52.885108225108226,19.829550510212112
FL22,G,Yes,2,19,Asian,English,NA,yes viola,3,221201_SMAL.txt,11,11,13,19,11,14,80,31,35,19,22,33,52,15,5.933333333333334,2.490332682331868,3.933333333333333,1.947591564290043,NA,NA,NA,NA,NA,NA,NA,46.942332852332854,12.770246104984302
FL22,G,Yes,1,19,Asian,English,Korean,"yes, piano, guitar, trumpet",3,221205_DJAN.txt,20,20,20,17,20,20,117,39,63,44,44,42,106,7,9,3.0630241653297,6.142857142857143,1.345343858376806,NA,NA,NA,NA,NA,NA,NA,53.950330687830686,13.891732000196107
FL22,G,No,2,18,Asian,Vietnamese,English,Ni,1,221206_HDAN.txt,15,19,19,16,20,16,105,38,50,24,40,32,82,55,11.49090909090909,3.484619703886936,7.236363636363636,2.5596972524206842,NA,NA,NA,NA,NA,NA,NA,76.83312515576667,16.439072187113933
FL22,G,No,2,20,Hispanic/Latino,English,Spanish,No,3,221206_VPAT.txt,17,11,16,17,14,16,95,28,33,12,26,19,63,55,9.599999999999998,3.1176724638302633,6.763636363636363,2.33757693236647,NA,NA,NA,NA,NA,NA,NA,61.78758877288289,23.092302589840532
FL22,G,Yes,1,19,Asian,English,Japanese,Yes in both piano and cello,2,221206_SSUW.txt,14,17,16,19,17,17,103,30,48,29,25,36,69,4,7.75,2.938721875540867,5.25,1.7712835360223198,NA,NA,NA,NA,NA,NA,NA,68.08492063492064,7.825427251301166
FL22,G,Yes,1,20,Asian,Chinese,English,Guitar,3,221207_HWEN.txt,14,14,15,12,16,11,84,40,45,13,37,30,77,8,8.5,2.98883180507614,5.375,1.8719730457612305,2,4,8,4,3,3,22,59.35468975468975,14.159740525593737
FL22,G,Yes,2,18,Asian,Vietnamese,"English, Chinese",Piano,1,221208_TNGU.txt,7,15,11,12,15,4,68,16,54,32,37,31,86,42,13,3.700439718141092,7.357142857142857,2.4391376494658257,3,0,16,8,3,7,34,73.51967821067821,16.579849218880554
FL22,G,No,1,18,White,English,NA,no,2,221209_BTRE.txt,15,16,17,16,16,17,98,39,48,12,30,34,67,7,5,2.321928094887362,3.7142857142857144,1.9285714285714286,1,6,7,5,6,4,28,45.83740287490288,8.220082571767126
FL22,G,No,2,20,White,English,NA,NA,3,221209_AJED.txt,5,16,14,13,10,8,67,20,36,18,9,25,37,8,5,2.321928094887362,3.625,1.8125,1,9,9,6,6,5,35,50.618204365079364,7.83903252057842
FL22,G,Yes,2,18,Asian,English,Hindi,Piano and Vocals (Choir),2,221209_SKHA.txt,19,19,18,19,20,18,113,43,56,31,45,40,96,22,5,2.321928094887362,3.6818181818181817,1.7101161931326485,NA,NA,NA,NA,NA,NA,NA,44.907261425443245,15.410454483413991
FL22,G,Yes,1,19,Asian,Korean,"English, Mandarin","cello, some piano",3,221209_SLEE.txt,17,10,14,13,8,7,72,35,47,26,18,25,66,7,5,2.321928094887362,4,2,3,5,8,5,3,4,25,40.14523809523809,7.159381481474424
FL22,G,Yes,2,18,Asian,Korean,English,"Piano, Violin",3,221209_GKAN.txt,16,16,16,17,16,13,96,43,51,38,39,33,103,7,9.714285714285714,3.1893845628411377,5.857142857142857,2.1791259945758354,2,4,7,2,3,4,20,69.54155844155844,13.981859738750423
