batch,GeneRate,Gender,Age,Race,Lang_1st,Lang_other,Music,Active,BP_Name,BMRQ_MS,BMRQ_EE,BMRQ_MR,BMRQ_SM,BMRQ_SR,BMRQ_AM,eBMRQ,MSI_AE,MSI_PA,MSI_MT,MSI_SA,MSI_EM,MSI_GS,num_rated,rating_avg,rating_sd,LANG#,FINGERS,EDIBLE,BRICK,CAN,CLIP,DTTtotal
SM22,R,2,18,White,English,NA,clarinet,3,220602_AFOR_rating.txt,11,12,18,13,13,18,87,25,29,21,23,27,56,57,45.29824561403509,26.248785626523144,1,14,13,8,6,5,46
SM22,R,1,20,Asian,English,Hindi,guitar,3,220602_SRAI_rating.txt,15,19,19,18,16,13,101,45,40,18,17,34,57,32,74,29.90199043973602,2,9,13,14,11,9,56
SM22,R,2,18,White,Russian,English,Piano,1,220608_TKAM_rating.txt,16,18,19,14,16,20,104,42,52,37,19,38,74,42,26.857142857142854,22.193793274929675,2,4,12,3,4,4,27
SM22,R,2,19,Asian,English,NA,NA,3,220608_ALEE_rating.txt,17,14,17,20,18,20,109,39,57,20,39,30,80,45,64.97777777777777,26.710985898629193,1,7,11,5,4,5,32
SM22,R,2,19,White,English,NA,flute,3,220609_JMAR_rating.txt,13,15,12,7,5,4,60,27,29,19,21,25,51,48,51.9375,33.89496055557271,1,11,24,23,18,21,97
SM22,R,2,19,Black/African American,English,NA,piano,3,220609_EOLA_rating.txt,15,16,17,10,13,18,91,33,44,8,22,34,57,28,97.67857142857142,23.64248149448216,1,4,11,9,6,6,36
SM22,R,1,19,Hispanic/Latino,Spanish,English,NA,3,220609_AHER_rating.txt,17,20,20,16,15,20,106,37,41,13,22,38,63,33,73.81818181818181,32.384848449404686,2,9,9,10,7,11,46
SM22,R,1,21,Asian,Chinese,English,no,3,220610_ZHYE_rating.txt,15,13,15,8,11,11,76,27,40,18,25,28,61,40,79.95,25.984166776653108,2,0,0,3,6,3,12
SM22,R,2,19,White,English,NA,vocal,1,220613_OEAR_rating.txt,12,13,12,18,16,8,81,33,61,34,45,31,101,37,56.43243243243243,33.02737966911405,1,7,12,8,8,8,43
SM22,R,2,21,Asian,Mandarin,"English, Korean",piano,1,220614_YMIA_rating.txt,18,19,19,18,18,14,107,54,57,30,45,39,103,40,89.8,22.87222030189596,2,8,4,7,9,7,35
SM22,R,2,19,Asian,English,NA,Piano,3,220614_MLAU_rating.txt,14,6,12,16,7,6,65,26,34,21,14,22,45,63,60.77777777777778,24.64944182083751,1,8,14,4,3,4,33
FL22,R,2,19,White,English,French,piano (for a couple years in elementary school),3,220929_VREM_rating.txt,18,18,18,18,19,15,107,45,40,19,32,37,69,102,47.627450980392155,28.800069296061928,NA,NA,NA,NA,NA,NA,NA
FL22,R,2,18,2+ Races,English,none,"flute, guitar, ukulele, percussion (mallets + auxillery)",2,220929_LOKI_rating.txt,14,17,17,18,18,13,98,34,51,46,37,35,99,42,50.476190476190474,21.521671545425445,NA,NA,NA,NA,NA,NA,NA
