batch,GeneRate,Gender,Age,Race,Lang_1st,Lang_other,Music,Active,BP_Name,BMRQ_MS,BMRQ_EE,BMRQ_MR,BMRQ_SM,BMRQ_SR,BMRQ_AM,eBMRQ,MSI_AE,MSI_PA,MSI_MT,MSI_SA,MSI_EM,MSI_GS,dat,num_rated,rating_avg,rating_sd
SP23,R,1,19,White,English,No,Yes. Drums and vocals,1,230209_BDYE_rating.txt,18,14,19,20,18,11,100,47,60,35,36,35,99,81.21564666784946,28,39.714285714285715,20.207914003176786
SP23,R,2,18,Hispanic/Latino,English,n/a,no,3,230213_NCAL_rating.txt,14,17,17,19,17,15,99,31,49,8,26,36,55,81.10444890778689,83,56.92771084337349,38.08904302229701
SP23,R,2,18,Asian,Chinese,English,no,3,230214_XLI_rating.txt,16,15,19,12,15,11,88,31,40,24,23,30,62,69.57780417232286,167,54.86826347305389,17.33147804728891
SP23,R,1,21,Hispanic/Latino,Spanish,"English, French",Guitar but it was long time ago.,3,230214_JOVI_rating.txt,18,10,14,19,18,13,92,48,55,24,42,31,95,74.83926151125203,57,59.05263157894737,40.627410281304094
SP23,R,2,21,White,English,conversational spanish,Flute in 5-7 grade,3,230215_ERIC_rating.txt,15,14,17,17,18,8,89,21,46,22,30,27,67,75.95478267896743,145,58.81379310344828,34.45246044408644
SP23,R,2,19,White,English,none,I played the violin in 3rd grade then moved to the clarinet for 4th-8th grade. I also took piano lessons for a short amount of time in middle school.,3,230216_GPOL_rating.txt,16,11,15,18,16,6,82,34,38,14,10,24,40,89.71480965791713,86,37.24418604651163,34.07118363126775
SP23,R,2,22,Asian,English,"hindi, punjabi",no,3,230217_KMAH_rating.txt,19,9,19,20,18,16,101,46,46,22,19,34,69,80.09819195029282,95,67.30526315789474,32.964220992183336
SP23,R,1,19,Hispanic/Latino,Spanish,english,violin when i was young,3,230221_MGON_rating.txt,16,14,19,16,11,15,91,33,42,19,30,26,59,78.56344037822315,247,76.16194331983809,29.37890415274683
SP23,R,2,20,White,English,None,"Trumpet (jazz and classical), voice, piano",2,230223_NRAM_rating.txt,16,16,17,11,14,19,93,26,57,40,35,42,91,81.91408306537639,121,57.008264462809926,18.527680133505015
SP23,R,1,20,Asian,English,Mandarin Chinese,"Yes, piano and cello",1,230224_SSHA_rating.txt,18,16,20,19,20,14,107,49,59,42,30,41,99,89.06596431597357,130,66.05384615384614,32.529845935160765
SP23,R,1,19,White,English,none,played the saxophone for 2 years and 4 years of  clarinet/bass clarinet,3,230224_BPOR_rating.txt,17,20,18,18,18,18,109,32,49,21,20,35,62,81.67962386450242,124,55.427419354838705,36.074262470608055
SP23,R,1,20,White,English,NA,NA,3,230224_AMUR_rating.txt,17,14,18,18,12,8,87,24,50,7,21,22,49,83.45432024271716,175,53.85714285714286,26.388284209359984
SP23,R,2,21,White,English,-,"Guitar, Piano, Voice (basic levels)",1,230224_GMCN_rating.txt,16,13,18,16,16,10,89,44,51,25,34,31,79,72.26418551234971,149,44.57718120805369,18.950569130743908
SP23,R,2,18,Asian,Chinese,English,Piano and guitar,1,230227_LDEN_rating.txt,15,14,15,13,16,11,84,35,44,31,36,28,90,72.7037570306233,130,56.03846153846153,17.783104884136925
SP23,R,2,19,Asian,English,none,no,3,230301_MRAM_rating.txt,11,16,16,18,14,15,90,32,41,15,30,32,62,70.04793775933129,184,46.47282608695652,21.20365265605575
SP23,R,2,19,White,English,NA,"Yes - piano, guitar, and voice",3,230303_EROS_rating.txt,14,19,19,17,16,13,98,40,38,24,23,38,65,81.84149510094097,93,50.36559139784946,35.526103368795745
SP23,R,2,21,Asian,Korean,English,Piano,3,230303_HLIM_rating.txt,13,19,18,15,14,15,94,30,47,17,24,35,58,74.93182967106502,170,44.388235294117656,40.988407689427554
SP23,R,2,20,Black/African American,English,n/a,Saxophone,2,230303_WSAC_rating.txt,14,13,16,18,17,15,93,40,35,27,20,29,67,91.60029218792694,119,96.79831932773111,25.974100474443535
SP23,R,2,19,Black/African American,English,none,guitar,3,230314_KGOD_rating.txt,13,18,14,18,16,14,93,26,52,14,28,31,63,68.40097989354815,97,76.79381443298969,39.14341636435864
SP23,R,2,18,Asian,English,"indonesian language, mandarin",no,3,230314_NSET_rating.txt,17,18,20,20,15,17,107,37,29,7,23,35,47,77.04710892978169,164,54.58536585365852,30.975728166552468
SP23,R,2,18,White,English,NA,NA,3,230314_EMCL_rating.txt,18,14,17,18,16,10,93,33,43,14,21,28,56,85.55426998063922,172,41.41279069767442,32.87524636782833
SP23,R,2,21,Asian,Chinese,English,"Piano, Violin",1,230315_YZHU_rating.txt,16,19,20,18,18,18,109,43,62,36,46,35,108,77.5367307521048,114,60.938596491228076,31.531213664888842
SP23,R,2,19,Asian,English,n/a,Violin and Choir,3,230315_SVUT_rating.txt,20,20,19,19,18,17,113,47,48,21,20,40,72,80.45702746936253,81,74.44444444444444,32.99280224533831
SP23,R,2,18,Hispanic/Latino,English,Spanish,Violin,3,230316_AMAR_rating.txt,12,17,18,19,16,13,95,34,48,32,30,35,83,74.96017430509839,78,60.96153846153847,38.35359828619084
SP23,R,2,19,Black/African American,English,Haitian Creole,flute (partially),3,230316_MBAU_rating.txt,17,17,20,20,17,18,109,36,49,25,31,33,80,79.70168565710385,89,74.57303370786516,21.415206810523387
SP23,R,1,20,Asian,Chinese,English,Piano,3,230317_YHE_rating.txt,15,15,19,15,15,17,96,29,34,18,26,25,60,70.80730852626618,104,72.41346153846153,28.457978073938392
SP23,R,2,19,Asian,English,Gujarati,Flute,3,230321_DPAT_rating.txt,15,17,20,16,15,12,95,27,43,18,29,34,67,79.23432159281913,84,50.07142857142858,39.295845978775006
SP23,R,2,21,Asian,English,"Hindi, Kannada",none,3,230322_NKAN_rating.txt,14,18,17,19,17,13,98,37,49,12,37,34,77,74.12562625748771,72,63.819444444444436,32.01334509975087
SP23,R,1,18,Asian,English,None,No,3,230322_NLAW_rating.txt,14,14,20,17,12,13,90,33,48,7,14,32,53,82.95312875970488,93,52.892473118279575,26.886420673702382
SP23,R,1,19,Asian,Mandarin,English,"Yes, trumpet",3,230223_CWAN_rating.txt,15,16,16,16,15,16,94,37,44,23,33,27,80,77.01219682182584,99,62.949494949494955,24.784941831262298
SP23,R,2,20,Hispanic/Latino,Spanish,English,"Yes, the piano and flute",2,230327_PGOM_rating.txt,17,20,20,20,16,19,112,42,47,28,30,35,79,79.82733625741233,208,38.18269230769232,31.2633397763659
SP23,R,1,19,White,English,N/A,"PIANO, GUITAR, DIGITAL MUSIC PRODUCTION",1,230327_JALJ_rating.txt,19,19,20,18,19,20,115,52,58,38,36,41,107,72.45204104554085,143,52.58741258741259,29.594044098011537
SP23,R,1,20,White,English,n/a,No,3,230328_JBAR_rating.txt,18,18,20,19,16,18,109,39,33,12,11,31,40,78.34770785910743,91,85.16483516483517,31.834036200360465
SP23,R,1,23,Asian,English,Partially fluent in Korean,Guitar,1,230328_ALEE_rating.txt,12,12,18,11,16,7,76,27,34,21,14,22,51,79.53496330550739,112,41.85714285714286,36.075211010066866
SP23,R,1,19,White,English,no,"6 years piano, 5 years guitar",3,230329_CTHI_rating.txt,18,17,19,15,18,17,104,44,41,29,27,38,79,91.60068423287676,145,40.248275862068965,28.983599537421057
SP23,R,2,20,Asian,English,punjabi,no,3,230329_SGRE_rating.txt,17,15,16,17,14,14,93,43,34,7,24,27,58,78.3851727931982,90,36.388888888888886,15.293895708503177
SP23,R,1,20,Asian,Chinese,English,No,3,230329_JQU_rating.txt,18,16,17,16,16,16,99,34,36,10,30,33,64,71.14649365345637,115,66.4521739130435,29.500890107969138
SP23,R,1,20,Prefer not to answer,English,N/A,A bit of guitar,3,230330_LHEL_rating.txt,16,15,16,17,11,11,86,20,37,19,24,13,58,73.28535580918903,70,58.05714285714286,35.255541537604145
SP23,R,2,18,Asian,English,n/a,Cello and guitar,3,230331_JLAO_rating.txt,3,0,3,0,0,0,6,0,0,0,0,0,0,87.47758300354083,83,49.86746987951807,32.20277638550839
SP23,R,1,18,Black/African American,English,None,I played guitar throughout middle school,3,230331_AJOH_rating.txt,17,15,20,20,16,18,106,49,52,18,39,37,89,86.61850687293779,157,61.4968152866242,38.415178658064924
SP23,R,2,19,Asian,English,N/A,No,2,230331_RPAT_rating.txt,17,16,20,19,15,15,102,44,46,15,26,31,65,83.51824450267789,187,67.05882352941177,28.901608481225114
SP23,R,2,19,White,English,NA,No,2,230403_AFRE_rating.txt,10,18,15,20,12,10,85,29,44,16,22,34,58,69.2187583162671,202,59.94059405940593,31.50766211232819
SP23,R,1,19,White,English,N/A,"I have, I did trumpet in middle school.",3,230403_MMAR_rating.txt,10,9,11,8,11,14,63,18,42,24,30,23,71,78.84766856829326,226,42.955752212389385,30.27353501526623
SP23,R,1,19,Hispanic/Latino,English,spanish,choir/some violin,3,230404_AGON_rating.txt,17,17,20,20,19,14,107,43,53,25,36,41,89,76.41604046026866,180,75.07222222222222,30.395719809598805
SP23,R,2,18,Asian,English,malayalam,yes in piano and flute.,3,230404_COUS_rating.txt,13,14,16,16,14,16,89,33,37,26,23,27,64,70.76720382486072,196,52.48979591836735,30.903238531794823
SP23,R,1,19,Asian,English,NA,"Piano, clarinet",1,230404_BADR_rating.txt,20,16,20,20,18,19,113,57,51,37,22,42,92,79.69128925885472,84,79.70238095238095,33.98078115992434
SP23,R,2,18,Asian,English,N/A,"Voice, Piano, Flute",1,230404_SKUM_rating.txt,17,19,20,20,20,9,105,41,59,36,44,37,106,83.5609390976883,156,52.16666666666667,35.2727315556628
SP23,R,2,19,Asian,Korean,English,"Yes in violin, recorder, drums",2,230405_JLEE_rating.txt,17,20,19,19,18,15,108,39,42,32,19,34,71,87.1160778172669,155,62.18709677419354,36.05043132417981
SP23,R,2,19,2+ Races,English,No,Flute,3,230405_ZABB_rating.txt,13,18,18,12,15,15,91,37,36,11,27,36,59,74.04471962224869,158,69.70886075949366,29.869419378027562
SP23,R,1,19,White,English,NA,No,3,230405_SROS_rating.txt,13,16,15,15,13,17,89,29,34,9,32,36,57,82.59664660408383,85,66.95294117647059,25.96284244213391
SP23,R,2,20,White,English,French,"Yes, guitar",2,230405_CING_rating.txt,14,14,13,17,17,17,92,31,50,40,26,36,81,88.92046499677235,194,54.20103092783504,36.87376307182056
SP23,R,2,21,White,English,None,Guitar,1,230406_EGRE_rating.txt,20,19,20,20,20,20,119,61,49,28,15,39,77,82.17026351596273,148,35.80405405405405,30.656902937814095
SP23,R,2,19,Asian,English,Bengali,no,3,230407_ADAI_rating.txt,17,19,20,20,19,20,115,38,40,12,20,32,53,81.10248744931249,252,73.75396825396825,27.48681292162898
SP23,R,1,20,Asian,Chinese,NO,NO,3,230410_HHAL_rating.txt,14,17,20,16,14,15,96,30,49,13,28,32,61,73.14399966881389,83,64.44578313253012,33.54038447212197
SP23,R,2,19,White,English,n/a,"Yes, piano",3,230410_AGIE_rating.txt,13,12,19,16,16,8,84,31,41,29,22,31,65,80.38151872765627,162,50.62962962962963,35.49908386341085
SP23,R,2,19,Asian,English,"Cantonese, Mandarin",no,1,230411_JTAM_rating.txt,17,19,18,15,16,16,101,40,36,18,24,32,64,80.10562254293333,125,46.56000000000002,27.426558825931078
SP23,R,2,19,White,English,None.,Yes! I used to play piano.,3,230411_MJEN_rating.txt,12,12,17,11,16,17,85,36,32,25,23,26,63,78.11030681644168,211,64.14218009478674,38.52703037492336
SP23,R,1,20,Asian,Mandarin,English,"Piano, Guitar, Mouth Organ",3,230413_YLI_rating.txt,16,16,17,13,14,20,96,42,41,27,33,34,78,75.02368887265523,167,55.598802395209574,32.0128099134878
SP23,R,1,19,Asian,English,Hindi and Gujarati,"snaredrum, trombone, choir and side drum.",1,230414_MDOB_rating.txt,15,8,20,19,14,18,94,41,43,24,23,38,66,75.76012245955921,208,76.1826923076923,32.97305719718786
