seq,seq_list,BP_Name,mean_rating,seq_length,unique_pitches,log_len,interval,entropy
0 0 0 0 0 0 0 0 0 0 0 0,,221103_HSUN.txt,22.125,12,1,3.584962500721156,,-0
0 0 0 0 1,,221206_VPAT.txt,13.25,5,2,2.321928094887362,,0.8112781244591328
0 0 0 0 1 1 1 1 2 2 2 2 3 3 3 3 4 4 4 4 5 5 5 5 6 6 6 6 7 7 7 7 8 8 8 8 9 9 9 9 9 9 9 9 8 8 8 8 7 7 7 7 6 6 6 6 5 5 5 5 4 4 4 4 3 3 3 3 2 2 2 2 1 1 1 1 0 0 0 0,,221201_DSAR.txt,70.42857142857143,80,10,6.321928094887363,,1.00208925935055
0 0 0 0 12,,221206_VPAT.txt,12.333333333333334,5,2,2.321928094887362,,0.8112781244591328
0 0 0 0 2 4 1 6 7 8 1 2 0,,221208_TNGU.txt,77.33333333333333,13,7,3.700439718141092,,2.6258145836939115
0 0 0 1 0 8 0 2 0 0,,221110_YAND.txt,54.8,10,4,3.321928094887362,,2.6416041678685933
0 0 0 1 2 0 0 0 0 0 0 0,,221129_MMCA.txt,38.41666666666667,12,3,3.584962500721156,,1.0957952550009336
0 0 0 1 4 8 9 10 4 0,,221110_YAND.txt,60.42857142857143,10,6,3.321928094887362,,2.4193819456463714
0 0 0 11 10 11 10 8,,221121_ASAB.txt,55.8,8,4,3,,2.2359263506290326
0 0 10 10 1,,221206_VPAT.txt,48.4,5,3,2.321928094887362,,1.5
0 0 10 12 5,,221206_HDAN.txt,36.9,5,4,2.321928094887362,,2
0 0 2 3 1 2 3 4 7 8 10 12,,221013_NMON.txt,58.35,12,9,3.584962500721156,,1.971747257128181
0 0 2 3 1 2 3 4 7 8 3 1,,221013_NMON.txt,75.94736842105263,12,7,3.584962500721156,,2.2221915755066783
0 0 2 4 12 4 4 6 2 2 1 0 0,,221209_GKAN.txt,69.57142857142857,13,6,3.700439718141092,,2.3553885422075336
0 0 3 9 5,,221206_HDAN.txt,51.888888888888886,5,4,2.321928094887362,,2
0 0 4 6 1,,221206_VPAT.txt,49.14285714285714,5,4,2.321928094887362,,2
0 0 4 6 9,,221206_VPAT.txt,34.8,5,4,2.321928094887362,,2
0 0 5 10 1,,221206_VPAT.txt,42.333333333333336,5,4,2.321928094887362,,1.5
0 0 5 2 1,,221027_RTAB.txt,17.8,5,4,2.321928094887362,,2
0 0 8 9 4 8 9 10 4 0,,221110_YAND.txt,83.625,10,5,3.321928094887362,,2.6416041678685933
0 1 0 0 8 6 5 7 10 0 9 7,,221103_SGOT.txt,92.5,12,8,3.584962500721156,,3.0957952550009344
0 1 0 1 0 1 0 1 0 0 1 3 1 2 1 0 1 0,,221103_HSUN.txt,83.1,18,4,4.169925001442312,,1.775523493673489
0 1 0 2 1 3 5 2 5 1 10 11 12,,221206_VPAT.txt,83.6,13,8,3.700439718141092,,2.625814583693911
0 1 0 2 1 3 5 2 5 1 7 4 1,,221206_VPAT.txt,88.88888888888889,13,7,3.700439718141092,,2.625814583693911
0 1 0 9 1 3 11 2 5 1 7 4 1,,221206_VPAT.txt,81.875,13,9,3.700439718141092,,3.418295834054489
0 1 0 9 1 3 11 2 9 1 7 4 1,,221206_VPAT.txt,83,13,8,3.700439718141092,,3.2516291673878226
0 1 1 0 1 5 6 12 5 9 10 11 8,,221206_VPAT.txt,91.66666666666667,13,9,3.700439718141092,,2.4508257945180887
0 1 1 2 4 2 6 4 8 6 10 7 12,,221110_EGIL.txt,91.84615384615384,13,9,3.700439718141092,,2.6258145836939115
0 1 1 8 1 0 0 2 1 2 10 3 2,,221013_NMON.txt,67.63157894736842,13,6,3.700439718141092,,2.6887218755408666
0 1 2 2 4 3 3 7 8 10 9 4 12,,221206_HDAN.txt,82.42857142857143,13,10,3.700439718141092,,2.688721875540867
0 1 2 2 4 3 3 7 8 10 9 4 8,,221206_HDAN.txt,73,13,9,3.700439718141092,,2.5220552088742005
0 1 2 2 7 9 8 10 8 10 9 11 8,,221206_HDAN.txt,86.85714285714286,13,8,3.700439718141092,,2.584962500721156
0 1 2 3 2 3 6 3 8 9 8 11 12,,221206_HDAN.txt,66.42857142857143,13,9,3.700439718141092,,1.9591479170272446
0 1 2 3 4 3 3 7 8 10 9 11 12,,221206_HDAN.txt,66.25,13,11,3.700439718141092,,1.9591479170272446
0 1 2 3 4 3 3 7 8 10 9 4 12,,221206_HDAN.txt,72.75,13,10,3.700439718141092,,2.4508257945180882
0 1 2 3 4 4 3 8 9 9 10 10 12,,221206_HDAN.txt,63.833333333333336,13,9,3.700439718141092,,1.896240625180289
0 1 2 3 4 5 10 7 8 10 9 11 12,,221206_HDAN.txt,64.55555555555556,13,12,3.700439718141092,,1.780672129520887
0 1 2 3 4 5 3 7 8 5 6 11 12,,221206_HDAN.txt,76.14285714285714,13,11,3.700439718141092,,1.584962500721156
0 1 2 3 4 5 3 7 8 9 10 11 12,,221206_HDAN.txt,59.375,13,12,3.700439718141092,,0.8166890883150209
0 1 2 3 4 5 6 10 9 10 12 11 12,,221129_MMCA.txt,68,13,11,3.700439718141092,,1.4182958340544896
0 1 2 3 4 5 6 4 8 5 10 6 12,,221028_AGRA.txt,63.166666666666664,13,10,3.700439718141092,,2.292481250360578
0 1 2 3 4 5 6 7 8 6 6 6 6,,221110_EGIL.txt,51,13,9,3.700439718141092,,1.188721875540867
0 1 2 3 4 5 6 7 8 9 10 11 11,,221110_EGIL.txt,32,13,12,3.700439718141092,,0.41381685030363374
0 1 2 3 4 5 6 7 8 9 10 11 12,,221110_EGIL.txt,23.09090909090909,13,13,3.700439718141092,,-0
0 1 2 3 4 5 6 7 8 9 10 11 8,,221206_VPAT.txt,43.22222222222222,13,12,3.700439718141092,,0.41381685030363374
0 1 2 4 7 9 8 10 8 10 9 11 8,,221206_HDAN.txt,86,13,9,3.700439718141092,,2.2841591278514217
0 1 3 3 4 5 6 4 3 1 1,,221108_APAR.txt,67.63636363636364,11,6,3.4594316186372973,,2.121928094887362
0 1 3 3 4 5 6 4 3 2 1,,221108_APAR.txt,50,11,7,3.4594316186372973,,2.046439344671015
0 1 3 8 3 5 3 5 3 7 2 7 2,,221110_ADEL.txt,72.6,13,7,3.700439718141092,,2.4591479170272446
